"","subid","session","scan","site","uniqueid","raw","symlink","reorient","mni","site.name","snr","cnr","fber","efc","qi1","fwhm"
"415","0025091",1,2,24,"NYU_org_0025091_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"418","0025092",1,2,24,"NYU_org_0025092_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"421","0025093",1,2,24,"NYU_org_0025093_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"424","0025094",1,2,24,"NYU_org_0025094_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"427","0025095",1,2,24,"NYU_org_0025095_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"430","0025096",1,2,24,"NYU_org_0025096_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"434","0025098",1,2,24,"NYU_org_0025098_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"437","0025099",1,2,24,"NYU_org_0025099_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"440","0025100",1,2,24,"NYU_org_0025100_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"443","0025101",1,2,24,"NYU_org_0025101_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"446","0025102",1,2,24,"NYU_org_0025102_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"449","0025103",1,2,24,"NYU_org_0025103_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"452","0025104",1,2,24,"NYU_org_0025104_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"456","0025106",1,2,24,"NYU_org_0025106_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"459","0025107",1,2,24,"NYU_org_0025107_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"462","0025108",1,2,24,"NYU_org_0025108_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"466","0025110",1,2,24,"NYU_org_0025110_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"469","0025111",1,2,24,"NYU_org_0025111_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"472","0025112",1,2,24,"NYU_org_0025112_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"475","0025113",1,2,24,"NYU_org_0025113_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"478","0025114",1,2,24,"NYU_org_0025114_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
