"","subject","session","scan"
"489","0025106",1,1
"490","0025106",1,2
"491","0025107",1,1
"492","0025107",1,2
"493","0025108",1,1
"494","0025108",1,2
"495","0025109",1,1
"496","0025109",1,2
"497","0025110",1,1
"498","0025110",1,2
"499","0025111",1,1
"500","0025111",1,2
"501","0025112",1,1
"502","0025112",1,2
"503","0025113",1,1
"504","0025113",1,2
"505","0025114",1,1
"506","0025114",1,2
"507","0025115",1,1
"508","0025115",1,2
"509","0025116",1,1
"510","0025116",1,2
"511","0025117",1,1
"512","0025117",1,2
"513","0025118",1,1
"514","0025118",1,2
"515","0025119",1,1
"516","0025119",1,2
"517","0025120",1,1
"518","0025120",1,2
"519","0025121",1,1
"520","0025121",1,2
"521","0025122",1,1
"522","0025122",1,2
"523","0025123",1,1
"524","0025123",1,2
"525","0025124",1,1
"526","0025124",1,2
"527","0025125",1,1
"528","0025125",1,2
"529","0025126",1,1
"530","0025126",1,2
"531","0025127",1,1
"532","0025127",1,2
"533","0025128",1,1
"534","0025128",1,2
"535","0025129",1,1
"536","0025129",1,2
"537","0025130",1,1
"538","0025130",1,2
"539","0025131",1,1
"540","0025131",1,2
"541","0025132",1,1
"542","0025132",1,2
"543","0025133",1,1
"544","0025133",1,2
"545","0025134",1,1
"546","0025134",1,2
"547","0025135",1,1
"548","0025135",1,2
"549","0025136",1,1
"550","0025136",1,2
"551","0025137",1,1
"552","0025137",1,2
"553","0025138",1,1
"554","0025138",1,2
"555","0025139",1,1
"556","0025139",1,2
"557","0025140",1,1
"558","0025140",1,2
"559","0025141",1,1
"560","0025141",1,2
"561","0025142",1,1
"562","0025142",1,2
"563","0025143",1,1
"564","0025143",1,2
"565","0025144",1,1
"566","0025144",1,2
"567","0025145",1,1
"568","0025145",1,2
"569","0025146",1,1
"570","0025146",1,2
"571","0025147",1,1
"572","0025147",1,2
"573","0025148",1,1
"574","0025148",1,2
"575","0025149",1,1
"576","0025149",1,2
"577","0025150",1,1
"578","0025150",1,2
"579","0025151",1,1
"580","0025151",1,2
"581","0025152",1,1
"582","0025152",1,2
"583","0025153",1,1
"584","0025153",1,2
"585","0025154",1,1
"586","0025154",1,2
"587","0025155",1,1
"588","0025155",1,2
"589","0025156",1,1
"590","0025156",1,2
"591","0025157",1,1
"592","0025157",1,2
"593","0025158",1,1
"594","0025158",1,2
"595","0025159",1,1
"596","0025159",1,2
"597","0025160",1,1
"598","0025160",1,2
"599","0025161",1,1
"600","0025161",1,2
"601","0025162",1,1
"602","0025162",1,2
"603","0025163",1,1
"604","0025163",1,2
"605","0025164",1,1
"606","0025164",1,2
"607","0025165",1,1
"608","0025165",1,2
"609","0025166",1,1
"610","0025166",1,2
"611","0025167",1,1
"612","0025167",1,2
"613","0025168",1,1
"614","0025168",1,2
"615","0025169",1,1
"616","0025169",1,2
"617","0025170",1,1
"618","0025170",1,2
"619","0025171",1,1
"620","0025171",1,2
"621","0025172",1,1
"622","0025172",1,2
"623","0025173",1,1
"624","0025173",1,2
"625","0025174",1,1
"626","0025174",1,2
"627","0025175",1,1
"628","0025175",1,2
"629","0025176",1,1
"630","0025176",1,2
"631","0025177",1,1
"632","0025177",1,2
"633","0025178",1,1
"634","0025178",1,2
"635","0025179",1,1
"636","0025179",1,2
"637","0025180",1,1
"638","0025180",1,2
"639","0025181",1,1
"640","0025181",1,2
"641","0025182",1,1
"642","0025182",1,2
"643","0025183",1,1
"644","0025183",1,2
"645","0025184",1,1
"646","0025184",1,2
"647","0025185",1,1
"648","0025185",1,2
"649","0025186",1,1
"650","0025186",1,2
"651","0025234",1,1
"652","0025234",2,1
"653","0025235",1,1
"654","0025235",2,1
"655","0025236",1,1
"656","0025236",2,1
"657","0025237",1,1
"658","0025237",2,1
"659","0025238",1,1
"660","0025238",2,1
"661","0025238",3,1
"662","0025239",1,1
"663","0025239",2,1
"664","0025239",3,1
"665","0025240",1,1
"666","0025240",2,1
"667","0025240",3,1
"668","0025241",1,1
"669","0025241",2,1
"670","0025242",1,1
"671","0025242",2,1
"672","0025243",1,1
"673","0025243",2,1
"674","0025244",1,1
"675","0025244",2,1
"676","0025244",3,1
"677","0025245",1,1
"678","0025245",2,1
"679","0025245",3,1
"680","0025246",1,1
"681","0025246",2,1
"682","0025247",1,1
"683","0025247",2,1
"684","0025248",1,1
"685","0025248",2,1
"686","0025249",1,1
"687","0025249",2,1
"688","0025250",1,1
"689","0025250",2,1
"690","0025251",1,1
"691","0025251",2,1
"692","0025252",1,1
"693","0025252",2,1
"694","0025252",3,1
"695","0025253",1,1
"696","0025253",2,1
"697","0025253",3,1
"698","0025254",1,1
"699","0025254",2,1
"700","0025254",3,1
"701","0025255",1,1
"702","0025255",2,1
"703","0025256",1,1
"704","0025256",2,1
"705","0025257",1,1
"706","0025257",2,1
"707","0025257",3,1
"708","0025258",1,1
"709","0025258",2,1
"710","0025259",1,1
"711","0025259",2,1
"712","0025259",3,1
"713","0025260",1,1
"714","0025260",2,1
"715","0025261",1,1
"716","0025261",2,1
"717","0025261",3,1
"718","0025262",1,1
"719","0025262",2,1
"720","0025263",1,1
"721","0025263",2,1
"722","0025263",3,1
"723","0025264",1,1
"724","0025264",2,1
"725","0025264",3,1
"726","0025265",1,1
"727","0025265",2,1
"728","0025265",3,1
"729","0025266",1,1
"730","0025266",2,1
"731","0025267",1,1
"732","0025267",2,1
"733","0025267",3,1
"734","0025268",1,1
"735","0025268",2,1
"736","0025269",1,1
"737","0025269",2,1
"738","0025270",1,1
"739","0025270",2,1
"740","0025270",3,1
"741","0025271",1,1
"742","0025271",2,1
"743","0025271",3,1
"744","0025272",1,1
"745","0025272",2,1
"746","0025272",3,1
"747","0025273",1,1
"748","0025273",2,1
"749","0025273",3,1
"750","0025274",1,1
"751","0025274",2,1
"752","0025274",3,1
"753","0025275",1,1
"754","0025275",2,1
"755","0025275",3,1
"756","0025276",1,1
"757","0025276",2,1
"758","0025276",3,1
"759","0025277",1,1
"760","0025277",2,1
"761","0025277",3,1
"762","0025278",1,1
"763","0025278",2,1
"764","0025278",3,1
"765","0025279",1,1
"766","0025279",2,1
"767","0025280",1,1
"768","0025280",2,1
"769","0025281",1,1
"770","0025281",2,1
"771","0025282",1,1
"772","0025282",2,1
"773","0025283",1,1
"774","0025283",2,1
"775","0025283",3,1
"776","0025284",1,1
"777","0025284",2,1
"778","0025285",1,1
"779","0025285",2,1
"780","0025285",3,1
"781","0025286",1,1
"782","0025286",2,1
"783","0025286",3,1
"784","0025287",1,1
"785","0025287",2,1
"786","0025287",3,1
"787","0025288",1,1
"788","0025288",2,1
"789","0025288",3,1
"790","0025289",1,1
"791","0025289",2,1
"792","0025290",1,1
"793","0025290",2,1
"794","0025290",3,1
"795","0025291",1,1
"796","0025291",2,1
"797","0025291",3,1
"798","0025292",1,1
"799","0025292",2,1
"800","0025293",1,1
"801","0025293",2,1
"802","0025294",1,1
"803","0025294",2,1
"804","0025295",1,1
"805","0025295",2,1
"806","0025296",1,1
"807","0025296",2,1
"808","0025297",1,1
"809","0025297",2,1
"810","0025298",1,1
"811","0025298",2,1
"812","0025299",1,1
"813","0025299",2,1
"814","0025300",1,1
"815","0025300",2,1
"816","0025301",1,1
"817","0025301",2,1
"818","0025302",1,1
"819","0025302",2,1
"820","0025303",1,1
"821","0025303",2,1
"822","0025304",1,1
"823","0025304",2,1
"824","0025305",1,1
"825","0025305",2,1
"826","0025306",1,1
"827","0025306",2,1
"828","0025307",1,1
"829","0025307",2,1
"830","0025308",1,1
"831","0025308",2,1
"832","0025309",1,1
"833","0025309",2,1
"834","0025310",1,1
"835","0025310",2,1
"836","0025311",1,1
"837","0025311",2,1
"838","0025312",1,1
"839","0025312",2,1
"840","0025313",1,1
"841","0025313",2,1
"842","0025314",1,1
