subject,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
0025431_session_9,2.36995267868042,8837930.0,18.45914649963379,13.275416374206543,71.51431274414062,3807.0,39.60406494140625,0.36469366751672894,408.6860529386408,307.6927185058594,2696406.0,221.00633239746094,269.23004150390625,301008.0,46.320011138916016,0.08048966217202444,14.585184097290039,514.2828979492188,78750.0,41.60274887084961
0025431_session_10,1.9563037157058716,8920253.0,17.227710723876953,14.738025665283203,109.30860137939453,593.0,38.11431884765625,0.3562899754717371,520.0344259249165,322.46990966796875,2614083.0,232.43350219726562,292.3821716308594,256309.0,48.25009536743164,0.06497450240480847,16.971620559692383,546.2846069335938,75930.0,45.19947052001953
0025431_session_1,1.958532452583313,8897117.0,18.434789657592773,13.219882011413574,104.93333435058594,495.0,35.12852096557617,0.35809093840386813,425.2499082276935,311.8169250488281,2637219.0,224.35496520996094,282.4940185546875,259018.0,46.71308135986328,0.06026682575940049,15.323962211608887,526.1997680664062,78529.0,40.94705581665039
0025432_session_2,2.628598690032959,8316551.0,17.615583419799805,10.539304733276367,110.25187683105469,532.0,34.121036529541016,0.4016348927103729,407.6150939994243,294.8378601074219,3217785.0,212.2662353515625,273.3397521972656,224846.0,38.609683990478516,0.07561151251281932,15.516928672790527,458.9957580566406,77102.0,33.75644302368164
0025432_session_3,2.695283889770508,8419278.0,20.02923583984375,10.010321617126465,100.37921905517578,770.0,41.37382507324219,0.39578444218536746,339.41446328393175,305.9164733886719,3115058.0,217.69906616210938,275.0601501464844,272332.0,40.97911834716797,0.06878891515400727,13.732933044433594,475.5592346191406,77329.0,36.863704681396484
0025432_session_4,2.715775966644287,8410203.0,20.467905044555664,9.342022895812988,108.57250213623047,531.0,34.74036407470703,0.3961843300135317,313.48768881890425,299.8971862792969,3124133.0,214.37770080566406,274.86895751953125,248473.0,40.468505859375,0.06586999148534227,13.429266929626465,466.0805969238281,78428.0,33.046539306640625
0025432_session_5,3.1329541206359863,8364305.0,20.4056396484375,9.360432624816895,101.22763061523438,637.0,37.46391677856445,0.40013404900613614,317.6331324424817,302.1199645996094,3170031.0,216.79603576660156,274.18328857421875,246779.0,40.21272659301758,0.08296863875719501,13.43664264678955,465.18890380859375,77711.0,33.42129898071289
0025432_session_6,2.558830738067627,8350475.0,19.0574893951416,9.642778396606445,110.2267837524414,463.0,35.95549774169922,0.39970806077846854,354.6085880675787,296.9328308105469,3183861.0,212.63401794433594,274.61383056640625,224866.0,38.74896240234375,0.06483726973615274,14.409759521484375,458.3809814453125,76953.0,34.14999771118164
0025432_session_7,2.6834757328033447,8395607.0,20.359214782714844,9.43764591217041,102.85133361816406,713.0,46.53333282470703,0.39666980451757433,317.9096072765837,300.007080078125,3138729.0,215.037841796875,269.0440673828125,270425.0,41.358253479003906,0.06469943150030724,13.214855194091797,461.1871337890625,79530.0,35.89097595214844
0025432_session_8,2.887801170349121,8357660.0,18.655807495117188,10.071246147155762,102.609375,640.0,36.56835174560547,0.40077591370882937,353.5318164127983,291.7322692871094,3176676.0,208.66751098632812,266.8711242675781,251021.0,40.01580810546875,0.07876630540127261,14.304988861083984,454.75836181640625,79528.0,32.745243072509766
0025432_session_9,3.0330374240875244,8313372.0,20.56324577331543,9.315908432006836,97.11058807373047,633.0,38.22193908691406,0.40174633222098977,311.11258301333453,299.6701354980469,3220964.0,217.31021118164062,270.2820739746094,248500.0,39.39830780029297,0.08111594188254778,13.143939971923828,461.8473815917969,77221.0,32.33558654785156
0025432_session_10,2.6997203826904297,8352677.0,20.00354766845703,9.53305435180664,114.81705474853516,645.0,44.094093322753906,0.39989129407091734,353.6198377974919,311.3412780761719,3181659.0,222.73216247558594,282.4910583496094,237458.0,41.419918060302734,0.06791654938889652,14.122047424316406,473.18597412109375,76342.0,35.59857940673828
0025432_session_1,3.204554796218872,8386347.0,19.94499397277832,9.502936363220215,96.69405364990234,572.0,43.46784973144531,0.39946682659823435,320.51293903091994,297.19793701171875,3147989.0,213.11985778808594,267.06231689453125,247777.0,39.712745666503906,0.08527121522636734,13.389942169189453,456.59832763671875,79997.0,35.849632263183594
0025433_session_2,1.287650227546692,8907732.0,10.424071311950684,21.01272201538086,76.24371337890625,2228.0,39.32840347290039,0.3647917385300392,1257.9184257861737,312.5751647949219,2626604.0,207.30589294433594,293.0428771972656,175064.0,44.80195617675781,0.04764647162712125,28.112133026123047,512.0809936523438,64651.0,38.263919830322266
0025433_session_3,1.0853606462478638,8865070.0,9.51246166229248,21.82033348083496,78.06208038330078,1949.0,44.873531341552734,0.36896642316118194,1426.5315411000486,304.5816650390625,2669266.0,198.89401245117188,289.4128723144531,175251.0,42.8561897277832,0.04202177760581699,30.424602508544922,496.97796630859375,64985.0,35.64656448364258
0025433_session_4,1.2738704681396484,8872731.0,10.284346580505371,21.343603134155273,74.87127685546875,2517.0,40.28435134887695,0.3679945192604319,1260.611363564014,309.16790771484375,2661605.0,203.9864501953125,289.54901123046875,192101.0,43.90414047241211,0.047037265076558726,28.154342651367188,509.05401611328125,66941.0,35.82685470581055
0025433_session_5,1.543654441833496,8836192.0,11.199284553527832,20.608123779296875,77.24494934082031,2425.0,43.20545959472656,0.3730114192218924,1093.9255915754054,315.5882568359375,2698144.0,205.88938903808594,289.1318054199219,251517.0,45.326412200927734,0.0567259063632841,25.816987991333008,519.9280395507812,72516.0,36.568790435791016
0025433_session_6,0.9725955724716187,8879727.0,9.595308303833008,23.295700073242188,73.00901794433594,2550.0,40.527748107910156,0.3671321097185743,1418.7437609095166,305.41357421875,2654609.0,199.75633239746094,276.9105529785156,252128.0,43.793060302734375,0.034160284432167794,28.85895347595215,500.4399719238281,71058.0,35.09367752075195
0025433_session_7,1.0332969427108765,8848513.0,8.814619064331055,23.890722274780273,74.84292602539062,1789.0,43.15993118286133,0.3696351309576734,1659.3238792219895,304.2448425292969,2685823.0,199.25526428222656,287.9376525878906,177773.0,42.8985595703125,0.04147307010793791,32.66592025756836,498.5252685546875,65744.0,35.15166091918945
