Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
3201815_session_2,rest_645_1_rest,0.032,0.202,16.000,0.006,0.000,0.351,0.879,0.032100,0.113100,0.031800,0.168600,0.017700,0.186500,0.000007,0.000359,-0.000018,-0.000280,-0.000039,-0.000095,0.076500,0.373400,0.040400,0.337700,0.039800,0.157500,0.020862,0.114851,0.011088,0.084453,0.012031,0.050541,0.1141,89.0000,0.3378,0.2022,9.8779,34.8676,3.6651,
3313349_session_2,rest_645_1_rest,0.031,0.556,56.000,0.008,-0.001,0.513,2.092,0.244200,0.334100,0.414500,0.620300,0.384100,0.307200,0.000465,0.000247,0.000785,0.001855,0.000701,-0.000563,0.281200,0.837700,0.557500,1.892500,0.437600,0.443700,0.129179,0.159519,0.250742,0.660793,0.217402,0.166258,0.0909,75.0000,0.3015,0.2203,8.3241,28.6310,2.2696,
3315657_session_2,rest_645_1_rest,0.011,0.104,1.000,0.009,-0.001,0.305,1.148,0.046500,0.194700,0.028100,0.116600,0.031300,0.077400,0.000188,0.000606,0.000048,-0.000306,0.000139,-0.000141,0.100100,0.486900,0.077800,0.206200,0.092500,0.116500,0.054416,0.145308,0.026343,0.068121,0.051382,0.024143,0.0704,4.0000,0.2654,0.1089,0.4444,40.6113,1.3260,
3795193_session_2,rest_645_1_rest,0.054,1.392,124.000,0.019,0.001,4.977,9.746,0.635900,2.364800,0.265300,0.849200,0.341000,1.459400,-0.000029,-0.001316,0.000254,0.001195,0.000206,0.000108,0.776200,4.577100,0.332900,1.680700,0.349100,1.962800,0.082537,0.347924,0.078765,0.200428,0.055365,0.128046,0.1914,257.0000,0.4375,0.4705,28.5556,40.7056,4.6655,
3808535_session_2,rest_645_1_rest,0.020,0.123,2.000,0.008,-0.001,0.190,1.977,0.014600,0.074300,0.018600,0.087000,0.022900,0.100100,-0.000078,0.001257,-0.000120,-0.000848,0.000111,-0.000280,0.061400,0.793800,0.097500,0.603100,0.079100,0.214300,0.024058,0.255674,0.035793,0.146056,0.018364,0.062756,0.0854,2.0000,0.2922,0.1378,0.2220,29.1638,2.1595,
3893245_session_2,rest_645_1_rest,0.067,0.503,183.000,0.006,0.000,0.774,2.134,0.134000,0.159200,0.061200,0.504200,0.095500,0.290100,-0.000454,0.001240,-0.000201,-0.000798,-0.000139,-0.000319,0.295500,0.634300,0.149900,1.313600,0.140000,0.302700,0.045297,0.274496,0.054928,0.450270,0.039566,0.061348,0.1342,106.0000,0.3664,0.2237,11.7647,31.4695,4.3871,
4176156_session_2,rest_645_1_rest,0.131,0.479,489.000,0.021,0.000,1.130,1.674,0.038000,0.435300,0.082700,0.718300,0.024100,0.319500,0.000040,-0.000430,-0.000015,-0.000393,0.000006,0.000042,0.071100,0.644400,0.130000,0.651200,0.050300,0.332000,0.020831,0.152806,0.032834,0.228976,0.011183,0.058753,0.3498,607.0000,0.5915,0.6881,67.4444,43.3781,11.7005,
4288245_session_2,rest_645_1_rest,0.064,0.790,177.000,0.010,-0.001,1.868,3.569,0.132700,0.523100,0.101300,0.786100,0.113500,0.405000,0.000034,-0.001083,-0.000077,0.000420,-0.000032,0.000228,0.178200,1.154400,0.150400,1.190300,0.169000,0.405500,0.027763,0.256145,0.026458,0.185892,0.019629,0.072652,0.1655,253.0000,0.4068,0.3243,28.1111,37.8982,5.1389,
7055197_session_2,rest_645_1_rest,0.029,0.141,14.000,0.009,0.000,0.451,0.994,0.123100,0.532200,0.126500,0.359700,0.059500,0.128000,0.000111,0.000042,0.000151,-0.000097,0.000119,-0.000075,0.116100,0.488900,0.128200,0.331400,0.114700,0.106000,0.036171,0.113883,0.029157,0.086392,0.024277,0.019020,0.0881,34.0000,0.2968,0.1634,3.7736,33.1625,2.2309,
8574662_session_2,rest_645_1_rest,0.032,0.231,45.000,0.004,0.000,0.293,1.465,0.029800,0.094700,0.109700,0.232500,0.048200,0.132600,0.000023,0.000507,0.000162,-0.000626,0.000103,-0.000130,0.080900,0.396100,0.234300,0.752900,0.138000,0.232800,0.021093,0.102410,0.054396,0.189175,0.037824,0.079637,0.0834,39.0000,0.2888,0.1675,4.3333,26.3442,2.6688,
8735778_session_2,rest_645_1_rest,0.052,0.212,132.000,0.008,0.000,0.254,0.538,0.041700,0.104200,0.041700,0.244100,0.023300,0.188000,0.000017,-0.000281,-0.000032,-0.000391,-0.000073,0.000051,0.049900,0.190800,0.051700,0.374600,0.070200,0.183300,0.012431,0.051365,0.009847,0.097520,0.030314,0.043653,0.1519,228.0000,0.3897,0.2370,25.3052,35.1218,4.8939,
9630905_session_2,rest_645_1_rest,0.051,0.410,104.000,0.008,0.000,0.500,0.985,0.322800,0.144000,0.128700,0.665000,0.171400,0.289500,-0.000306,-0.000010,-0.000044,0.000216,-0.000213,-0.000240,0.477000,0.276400,0.170600,0.594400,0.263600,0.298400,0.102228,0.102206,0.027353,0.095855,0.063552,0.073430,0.1496,200.0000,0.3867,0.2689,22.2222,30.1532,4.6711,
0021001_session_2,rest_645_1_rest,0.045,0.417,85.000,0.012,0.001,1.277,2.352,0.088300,0.526900,0.184000,0.432300,0.164800,0.150600,0.000026,0.000791,0.000066,-0.000435,-0.000019,-0.000050,0.163700,0.855500,0.216100,0.765300,0.246800,0.195400,0.053139,0.105425,0.056413,0.165886,0.060374,0.031298,0.1288,128.0000,0.3589,0.2598,14.2222,29.9958,3.3238,
0021002_session_2,rest_645_1_rest,0.023,0.129,3.000,0.008,0.000,0.262,0.884,0.065600,0.079000,0.072300,0.161800,0.051400,0.063800,-0.000323,-0.000227,0.000344,0.000421,0.000065,-0.000095,0.274800,0.339300,0.352700,0.256500,0.149200,0.137300,0.145626,0.137652,0.124637,0.091055,0.033762,0.051239,0.0818,11.0000,0.2860,0.1352,1.2222,23.8465,2.0057,
0021006_session_2,rest_645_1_rest,0.021,0.204,12.000,0.004,-0.001,0.577,1.405,0.024100,0.212500,0.070800,0.217300,0.060100,0.209300,0.000093,-0.000181,-0.000253,0.000906,-0.000041,-0.000006,0.070000,0.398400,0.174600,0.752400,0.119200,0.243300,0.022458,0.129575,0.071025,0.345730,0.025696,0.054212,0.0690,19.0000,0.2628,0.1190,2.1111,28.1104,2.0188,
0021018_session_2,rest_645_1_rest,0.016,0.061,0.000,0.008,-0.001,0.163,1.939,0.016000,0.073200,0.021900,0.085800,0.018100,0.126300,-0.000355,0.001502,0.000076,-0.000942,-0.000271,-0.000386,0.180700,0.872600,0.084100,0.572400,0.142400,0.210400,0.081749,0.288611,0.019595,0.226742,0.072992,0.074261,0.0992,22.0000,0.3150,0.1685,2.4444,24.3196,2.7920,
0021024_session_2,rest_645_1_rest,0.055,0.303,143.000,0.009,-0.000,0.487,1.451,0.044200,0.134800,0.061400,0.309700,0.083100,0.101500,0.000000,0.000150,-0.000070,-0.000919,-0.000112,-0.000242,0.090200,0.261300,0.093300,0.946100,0.111500,0.196200,0.028131,0.059737,0.032139,0.291970,0.030867,0.059156,0.1211,123.0000,0.3480,0.2212,13.6515,29.0531,3.6499,
