Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0025102_session_1,rest_1_rest,0.02,0.133,1.0,0.01,-0.004,0.16,1.777,0.1203,0.162,0.0813,0.0991,0.0879,0.1299,-0.0030629999999999998,0.008993000000000001,-0.00108,0.000868,-0.00137,-0.003457,0.5039,0.989,0.2257,0.1289,0.1863,0.4262,0.15962300000000001,0.403884,0.059796,0.061563,0.061515999999999994,0.10769200000000001,0.0905,3.0,0.3008,0.1448,1.6575,2.2793,1.7883
0025103_session_1,rest_1_rest,0.084,0.79,41.0,0.036000000000000004,-0.003,2.0069999999999997,4.688,1.0053,1.686,0.4654,0.7763,0.5708,0.2826,0.0008439999999999999,-0.00112,0.0008990000000000001,0.0036340000000000005,0.0031940000000000002,-0.0017170000000000002,2.1853,1.5171,1.1396,1.7714,0.6575,0.3385,0.301603,0.343359,0.147621,0.27871799999999997,0.160553,0.060552999999999996,0.3157,82.0,0.5619,0.8072,45.3039,2.332,6.2009
0025104_session_1,rest_1_rest,0.016,0.102,1.0,0.006999999999999999,-0.0,0.221,0.5479999999999999,0.074,0.0984,0.0784,0.109,0.0797,0.0797,0.000933,-0.000254,0.001318,0.0015660000000000001,-2.2e-05,-0.001307,0.1016,0.2455,0.156,0.1775,0.0757,0.1789,0.026288,0.060141,0.065381,0.033469,0.023593,0.024742,0.0726,6.0,0.2694,0.1305,3.3149,2.2555,1.3751
0025105_session_1,rest_1_rest,0.064,1.3459999999999999,28.0,0.048,-0.002,3.0260000000000002,3.824,0.4975,2.1919,0.4181,1.3187,0.2294,0.4357,-0.001036,0.002163,0.000183,-0.001225,0.000147,-0.002228,0.3465,2.6615,0.447,1.4991,0.2041,0.4906,0.071349,0.344132,0.055188,0.142129,0.023463,0.095072,0.3005,58.0,0.5481,0.8852,32.0442,2.7192,4.758
0025106_session_1,rest_1_rest,0.018000000000000002,0.255,1.0,0.006,-0.002,0.252,0.49700000000000005,0.0409,0.1004,0.047,0.2629,0.0506,0.1004,0.000356,0.0005650000000000001,0.000357,0.001592,0.000394,-0.001115,0.0545,0.1418,0.0611,0.3489,0.0709,0.2355,0.013250999999999999,0.038923,0.024598,0.036377,0.021886000000000003,0.020628999999999998,0.0705,2.0,0.2656,0.1152,1.105,2.413,1.5363
0025107_session_1,rest_1_rest,0.018000000000000002,0.102,2.0,0.006,-0.0,0.09300000000000001,0.5820000000000001,0.0706,0.0607,0.0824,0.1006,0.113,0.0377,-0.002337,-0.0007160000000000001,-0.001142,0.002281,-0.000893,-0.00098,0.2705,0.1194,0.1091,0.3313,0.1432,0.1447,0.12628399999999998,0.047346,0.03195,0.062861,0.030708,0.036558,0.0753,4.0,0.2745,0.131,2.2099,2.2382,1.7166
0025108_session_1,rest_1_rest,0.032,0.331,14.0,0.013000000000000001,-0.003,0.47200000000000003,1.021,0.1699,0.1963,0.1533,0.3589,0.1557,0.2327,0.0033060000000000003,-0.001091,0.000976,0.000817,0.00249,-0.0028940000000000003,0.4029,0.2912,0.1731,0.4032,0.2653,0.3302,0.15854200000000002,0.104644,0.055867999999999994,0.089197,0.122244,0.087754,0.1439,33.0,0.3793,0.3168,18.232,2.3653,2.9751
0025109_session_1,rest_1_rest,0.013999999999999999,0.099,0.0,0.006999999999999999,0.0,0.126,0.907,0.0977,0.0619,0.0602,0.1061,0.0713,0.0421,-0.0032979999999999997,-0.00245,-9.499999999999999e-05,0.0031739999999999997,-0.0007440000000000001,-0.0009720000000000001,0.3321,0.2593,0.0544,0.336,0.0981,0.1209,0.153969,0.103341,0.016166999999999997,0.11831900000000001,0.028369,0.046393000000000004,0.0566,2.0,0.2379,0.0939,1.105,1.9302,0.9955
0025110_session_1,rest_1_rest,0.134,1.159,63.0,0.028999999999999998,-0.0,1.8219999999999998,4.447,0.2526,0.7792,0.6766,1.7574,0.6509,1.2566,-0.001905,0.0015140000000000002,0.000582,0.012648000000000001,-0.0014210000000000002,-0.007455,0.3112,1.1988,0.4925,2.9184,0.5129,2.3026,0.133106,0.350329,0.064828,0.865627,0.157583,0.412966,0.3408,78.0,0.5838,0.9392,43.0939,2.5814,8.4514
0025111_session_1,rest_1_rest,0.015,0.445,2.0,0.006,-0.002,0.515,0.87,0.0783,0.127,0.0364,0.4599,0.0604,0.1123,-0.001019,0.0016300000000000002,-0.0015539999999999998,0.003664,-2.3e-05,-0.001578,0.1545,0.1753,0.1943,0.6003,0.0881,0.2058,0.055048,0.08340299999999999,0.079964,0.027687,0.023246,0.035256,0.0651,1.0,0.2552,0.1077,0.5525,1.9503,1.4415
0025112_session_1,rest_1_rest,0.033,0.196,9.0,0.006999999999999999,-0.001,0.159,0.425,0.0856,0.0524,0.0649,0.261,0.0942,0.097,-0.000997,-0.00024700000000000004,-0.00028700000000000004,0.001099,0.000433,-0.00115,0.1361,0.0575,0.0591,0.2751,0.1434,0.2048,0.064099,0.016166,0.0158,0.044319,0.021398,0.036836,0.1372,38.0,0.3705,0.2574,20.9945,2.5091,3.7483
0025113_session_1,rest_1_rest,0.027999999999999997,0.33,4.0,0.011000000000000001,-0.006,0.6679999999999999,1.886,0.1337,0.25,0.2203,0.3152,0.2106,0.0919,-0.0008939999999999999,0.00352,-0.002427,0.007640000000000001,-0.0022960000000000003,-0.004144,0.291,0.4347,0.3295,1.061,0.2938,0.5493,0.084661,0.084237,0.076087,0.194544,0.061238,0.106832,0.0986,10.0,0.3139,0.1928,5.5249,2.0808,1.9824
0025114_session_1,rest_1_rest,0.096,0.381,67.0,0.009000000000000001,-0.002,0.505,1.625,0.1023,0.1546,0.0593,0.3822,0.1361,0.1202,-0.002293,-0.002031,-0.001374,0.009807,-0.0011560000000000001,-0.002751,0.3147,0.2699,0.1848,1.1418,0.2352,0.3465,0.147977,0.054827999999999995,0.07118,0.31158600000000003,0.071262,0.054785,0.1873,70.0,0.4328,0.3063,38.674,2.2384,5.7118
0025115_session_1,rest_1_rest,0.05,0.47100000000000003,17.0,0.013000000000000001,-0.002,0.6659999999999999,1.2690000000000001,0.1018,0.2419,0.0986,0.4777,0.1164,0.202,0.00028,-0.001384,0.000984,0.003246,-0.00043099999999999996,-0.0019190000000000001,0.0771,0.5528,0.1717,0.6694,0.1246,0.2281,0.028812,0.183591,0.046416000000000006,0.157076,0.023009,0.058455999999999994,0.1522,37.0,0.3901,0.2644,20.442,2.3378,3.3728
0025116_session_1,rest_1_rest,0.043,0.19699999999999998,26.0,0.009000000000000001,-0.002,0.313,0.645,0.0908,0.2497,0.0469,0.3632,0.0582,0.1483,-0.00043099999999999996,-0.001434,0.000681,-0.000897,0.000248,-0.00114,0.1582,0.2136,0.1221,0.2962,0.059,0.1327,0.063204,0.07384099999999999,0.028783999999999997,0.062474,0.019209,0.040514,0.1486,50.0,0.3855,0.3166,27.6243,2.1836,4.1346
0025117_session_1,rest_1_rest,0.06,0.973,25.0,0.046,-0.001,5.626,9.002,0.1992,4.0921,0.3169,0.8427,0.3024,1.4155,-0.000175,0.002861,0.0005200000000000001,-0.003834,0.000728,-0.000199,0.3268,5.2258,0.4914,1.4141,0.2044,1.9991,0.078752,0.355354,0.129144,0.199478,0.043656,0.151109,0.3031,66.0,0.5505,0.8392,36.4641,2.6673,4.6629
0025118_session_1,rest_1_rest,0.063,0.23199999999999998,37.0,0.009000000000000001,-0.001,0.301,0.993,0.0667,0.0899,0.0563,0.3025,0.105,0.0532,-0.00172,0.004318,0.000399,0.0023710000000000003,-0.000816,-0.001038,0.267,0.4614,0.1066,0.4452,0.175,0.1343,0.124134,0.188167,0.024467,0.0781,0.048683,0.035989,0.2448,114.0,0.4947,0.3991,62.9834,2.2841,7.1354
0025119_session_1,rest_1_rest,0.017,0.17300000000000001,2.0,0.006,-0.002,0.29100000000000004,0.987,0.0823,0.1002,0.075,0.15,0.0633,0.1012,-0.001616,-0.001075,0.000799,0.002788,0.000172,-0.0014529999999999999,0.2379,0.3004,0.1888,0.6793,0.0903,0.413,0.091627,0.086337,0.038428,0.130982,0.03441,0.069257,0.0696,5.0,0.2638,0.1282,2.7624,2.0388,1.4248
0025120_session_1,rest_1_rest,0.021,0.16,1.0,0.008,-0.002,0.28,0.7879999999999999,0.0411,0.0726,0.0439,0.1829,0.0767,0.0555,-0.0012929999999999999,0.0016,-9.2e-05,0.0020329999999999997,-0.000199,-0.0009199999999999999,0.1677,0.2081,0.0628,0.3743,0.0636,0.142,0.074547,0.038912,0.017703,0.050296,0.018727,0.022951,0.0888,5.0,0.2979,0.1489,2.7624,1.9206,1.9836
0025121_session_1,rest_1_rest,0.033,0.244,7.0,0.013000000000000001,0.002,0.735,2.113,0.05,0.4698,0.0538,0.391,0.0674,0.2074,-0.00047400000000000003,0.0077540000000000005,0.0026780000000000003,0.00545,-0.001217,-0.007984,0.1147,1.1434,0.299,0.7541,0.1468,0.7463,0.030762,0.24591799999999997,0.16111099999999998,0.184324,0.03255,0.256763,0.117,18.0,0.3421,0.2303,9.9448,2.4202,2.4216
0025122_session_1,rest_1_rest,0.015,0.138,2.0,0.006999999999999999,-0.002,0.124,0.597,0.0881,0.1839,0.0731,0.209,0.1247,0.1294,0.000604,-0.001565,0.001253,0.000796,0.001031,-0.00047000000000000004,0.1439,0.2279,0.1679,0.1852,0.2442,0.1084,0.026311,0.065344,0.06372799999999999,0.058255999999999995,0.060342999999999994,0.01917,0.0739,6.0,0.2718,0.1467,3.3149,2.2181,1.3875
0025123_session_1,rest_1_rest,0.017,0.107,1.0,0.009000000000000001,-0.002,0.375,1.5819999999999999,0.1103,0.1862,0.0476,0.0967,0.1148,0.1645,-0.0008550000000000001,-0.006973999999999999,-0.0024129999999999998,0.004721,-0.00122,-0.0014089999999999999,0.1574,0.7238,0.2213,0.4263,0.1557,0.1664,0.066528,0.309842,0.120223,0.193071,0.038326,0.035526,0.0808,4.0,0.2842,0.1389,2.2099,2.2936,1.567
0025124_session_1,rest_1_rest,0.011000000000000001,0.327,1.0,0.006,-0.002,0.305,0.653,0.0829,0.0405,0.0258,0.3249,0.0393,0.1066,-0.0011070000000000001,0.001352,-0.000151,0.0014550000000000001,-0.00031099999999999997,-0.001145,0.1579,0.1607,0.038,0.3933,0.0627,0.1948,0.072838,0.053967999999999995,0.011382999999999999,0.06126,0.018921,0.012071,0.0558,2.0,0.2363,0.0898,1.105,1.9421,1.1066
0025125_session_1,rest_1_rest,0.092,0.345,71.0,0.015,-0.0,0.627,0.7859999999999999,0.1573,0.3222,0.1701,0.3495,0.1753,0.1844,-0.00031299999999999996,-2.3e-05,0.000545,-0.000534,5.9999999999999995e-05,-0.001093,0.1479,0.4004,0.2038,0.3405,0.2305,0.2283,0.032086,0.039116000000000005,0.06104299999999999,0.08885599999999999,0.053376,0.044236000000000004,0.3224,135.0,0.5678,0.5194,74.5856,2.7004,8.8915
0025126_session_1,rest_1_rest,0.046,0.20199999999999999,11.0,0.013999999999999999,-0.002,0.29,1.015,0.0887,0.2623,0.1018,0.1821,0.1486,0.103,-0.002023,0.002699,-0.0019010000000000001,0.002375,-0.0017809999999999998,-0.002959,0.296,0.3215,0.309,0.3752,0.2451,0.333,0.150844,0.153601,0.110349,0.145543,0.105492,0.10546300000000002,0.1479,40.0,0.3846,0.2577,22.0994,2.3433,3.3684
0025127_session_1,rest_1_rest,0.021,0.132,3.0,0.012,-0.003,0.18100000000000002,0.988,0.0915,0.1212,0.0613,0.1119,0.1475,0.0897,-0.002651,0.0010550000000000002,-0.00262,0.0025800000000000003,-0.000553,-0.00257,0.3325,0.2792,0.2717,0.313,0.1181,0.3149,0.094347,0.13136099999999998,0.14166199999999998,0.071604,0.023547,0.087104,0.0978,10.0,0.3128,0.1657,5.5249,1.9918,1.8013
0025128_session_1,rest_1_rest,0.028999999999999998,0.3,3.0,0.009000000000000001,0.004,0.66,1.541,0.2703,0.1018,0.0407,0.1747,0.248,0.0357,-0.0036969999999999998,-0.002764,4.1e-05,0.003625,-0.002677,-0.000868,0.6297,0.2872,0.0324,0.4025,0.4386,0.0819,0.147429,0.100131,0.011188,0.114951,0.089673,0.01985,0.086,8.0,0.2933,0.1745,4.4199,2.0052,1.7951
0025129_session_1,rest_1_rest,0.017,0.172,1.0,0.006999999999999999,-0.002,0.179,1.3030000000000002,0.0613,0.0969,0.0381,0.1405,0.0882,0.1115,-0.00025299999999999997,0.00464,-0.00018899999999999999,0.003325,0.000536,-0.00462,0.0858,0.4856,0.0651,0.5148,0.2078,0.5458,0.027969,0.266232,0.0228,0.118559,0.05624199999999999,0.199124,0.0743,4.0,0.2726,0.1408,2.2099,2.051,1.4849
0025130_session_1,rest_1_rest,0.046,0.196,17.0,0.008,0.001,0.257,0.9079999999999999,0.0434,0.0958,0.0569,0.1905,0.1098,0.0951,0.000341,0.001207,0.000504,0.0040409999999999995,-0.000617,-0.001709,0.0618,0.2626,0.117,0.5479,0.1024,0.2107,0.015796,0.10782699999999999,0.035386,0.265781,0.025411000000000003,0.101126,0.1367,35.0,0.3697,0.2391,19.337,2.1404,3.3192
0025131_session_1,rest_1_rest,0.038,0.226,10.0,0.012,-0.006999999999999999,0.33899999999999997,2.44,0.0767,0.2278,0.0703,0.208,0.0825,0.1113,-0.003282,-0.0038130000000000004,0.0029289999999999997,0.012218999999999999,0.001603,-0.005989,0.4061,0.4242,0.4235,1.6122,0.1948,0.7657,0.138586,0.201942,0.094186,0.41422299999999995,0.086874,0.20239100000000002,0.116,20.0,0.3406,0.2167,11.0497,2.1199,2.3907
0025132_session_1,rest_1_rest,0.031,0.096,0.0,0.006999999999999999,0.001,0.215,0.7509999999999999,0.0729,0.0802,0.0543,0.2078,0.1044,0.0805,0.000717,0.002814,0.001559,-0.001186,0.000858,-0.001853,0.1124,0.3193,0.2065,0.2371,0.1752,0.2308,0.035896,0.120378,0.069392,0.077346,0.041736,0.058428999999999995,0.1161,15.0,0.3407,0.195,8.2873,2.0628,2.9122
