uid,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean,site_x,tr,Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson,site_y
0025027_session_1_scan_rest_2_rest,0.6101414142176509,0.6496211527846754,0.6891008913516998,3.5069199999999996,0.6131021442470389,0.0953734964132309,0.13916295766830444,0.1842745304107666,10.0986,0.1079067885875702,0.3315681517124176,0.5257723331451416,0.6939150094985962,6.71385,0.33820948004722595,NYU_2,2000,0025027_session_1,rest_2_rest,0.02,0.092,0.0,0.022,-0.01,0.487,2.8760000000000003,0.0938,0.3278,0.0596,0.2645,0.0587,0.1226,-0.001281,-0.01202,-0.000924,0.002672,-8e-05,0.002973,0.2426,1.6537,0.1617,0.4865,0.0692,0.4879,0.067314,0.520364,0.042613,0.061997,0.019257,0.157717,0.1525,42.0,0.3905,0.2756,23.2044,1.9749,2.8539,NYU_2
0025028_session_1_scan_rest_1_rest,0.6007272158749402,0.6358574624173343,0.6674746843054891,2.94935,0.6033066182887379,0.07141316682100296,0.09714590758085252,0.1284182757139206,9.69363,0.07994912564754486,0.17611807584762573,0.3344627320766449,0.5060303211212158,6.32867,0.20805256068706512,NYU_2,2000,0025028_session_1,rest_1_rest,0.029,0.328,2.0,0.006999999999999999,-0.003,0.389,0.8490000000000001,0.0526,0.0536,0.0476,0.3235,0.0537,0.1042,-0.00032,-0.00015,0.001527,0.004094,0.0005639999999999999,-0.002218,0.1535,0.0865,0.1494,0.6226,0.0966,0.3069,0.05961900000000001,0.044192,0.070279,0.063595,0.034869,0.057534,0.1011,2.0,0.3179,0.1462,1.105,2.1625,2.5354,NYU_2
0025028_session_1_scan_rest_2_rest,0.5976419064681977,0.6325917255599052,0.6675415446516126,3.08394,0.5992775216730328,0.07398772984743117,0.10197443515062332,0.1359574407339096,9.72792,0.08316659927368164,0.2112394943833351,0.3756937012076378,0.5461742520332338,6.29162,0.239483654499054,NYU_2,2000,0025028_session_1,rest_2_rest,0.032,0.355,2.0,0.009000000000000001,-0.002,0.473,0.941,0.061,0.0538,0.0906,0.35600000000000004,0.0959,0.1121,0.001655,0.000187,0.002079,0.003786,0.001634,-0.00176,0.1785,0.1381,0.2788,0.5907,0.2659,0.2493,0.033099,0.025616000000000003,0.061359,0.057576,0.052208,0.047788,0.1142,5.0,0.33799999999999997,0.1731,2.7624,2.2063,2.7808,NYU_2
0025029_session_1_scan_rest_1_rest,0.6001808214932679,0.6331577897071838,0.6628370610997081,2.79754,0.6008408537995211,0.07644569128751755,0.10421678423881532,0.13568563759326935,9.3968,0.08498737215995789,0.2355869859457016,0.4127273857593536,0.5972899198532104,6.54479,0.26078614592552185,NYU_2,2000,0025029_session_1,rest_1_rest,0.033,0.192,2.0,0.008,-0.009000000000000001,0.222,2.674,0.0761,0.0607,0.0329,0.2019,0.0494,0.03,-0.002674,-0.005574,-0.000304,0.008727,-0.003082,-0.001075,0.3276,0.7032,0.1163,1.2042,0.364,0.1592,0.147329,0.20737,0.015529,0.311937,0.14619300000000002,0.042493,0.0827,2.0,0.2876,0.1372,1.105,1.933,1.8886,NYU_2
0025029_session_1_scan_rest_2_rest,0.5962971756234765,0.6296098669990897,0.6629225583747029,3.0112400000000004,0.5983989414189913,0.08036718517541885,0.11176990531384944,0.15129196643829354,10.027000000000001,0.09168756753206253,0.2586839497089386,0.4480283856391907,0.6256061196327211,6.47391,0.28299346566200256,NYU_2,2000,0025029_session_1,rest_2_rest,0.026,0.188,1.0,0.008,-0.004,0.21600000000000005,1.5319999999999998,0.0688,0.0922,0.0298,0.2518,0.0583,0.0365,-0.002749,-0.002421,7.900000000000001e-05,0.004275999999999999,-0.003482,-0.0006900000000000001,0.3426,0.3433,0.0489,0.6309,0.3961,0.1142,0.134016,0.067191,0.015916999999999997,0.085561,0.151328,0.022896,0.0794,1.0,0.2817,0.13699999999999998,0.5525,1.9868,1.776,NYU_2
0025030_session_1_scan_rest_2_rest,0.6147800981998444,0.6566969230771065,0.7021068166941404,3.7503800000000003,0.6192201329669447,0.08952535688877106,0.12965203076601028,0.17372511327266693,10.4364,0.10243421792984007,0.31581830978393555,0.5020853877067566,0.6534904837608337,6.287319999999999,0.31906697154045105,NYU_2,2000,0025030_session_1,rest_2_rest,0.015,0.365,1.0,0.005,-0.002,0.403,0.535,0.0649,0.1674,0.0844,0.4018,0.1258,0.0927,0.000445,0.000386,-0.000188,0.001349,-0.000482,-0.00065,0.0932,0.1227,0.1118,0.3819,0.1345,0.125,0.010408,0.021967,0.014892,0.078716,0.014109,0.020327,0.0521,3.0,0.2282,0.1045,1.6575,1.9336,1.0873,NYU_2
0025030_session_1_scan_rest_1_rest,0.6238598413765429,0.6663957396522164,0.7160209543071687,3.79184,0.6286806613656362,0.10431552305817604,0.1498805694282055,0.19703643023967746,10.225,0.11703168600797652,0.3879282623529434,0.5761073082685471,0.7234966158866882,6.47478,0.37594494223594666,NYU_2,2000,0025030_session_1,rest_1_rest,0.023,0.408,7.0,0.009000000000000001,-0.001,0.4320000000000001,0.991,0.075,0.2022,0.1984,0.5282,0.175,0.1396,0.00158,-0.00047,-0.0006219999999999999,0.002054,0.001365,-0.001092,0.1952,0.4771,0.1215,0.5347,0.1815,0.2674,0.069038,0.116059,0.033919,0.092393,0.069901,0.049238,0.0991,23.0,0.3148,0.2524,12.7072,2.0495,1.9385,NYU_2
0025031_session_1_scan_rest_1_rest,0.6010366464033723,0.6344275712035596,0.6678184960037471,2.99917,0.6013956223777146,0.08533068746328354,0.1217116191983223,0.16718766391277312,10.3858,0.09826942533254623,0.29968079924583435,0.4869140386581421,0.6663649082183838,6.93802,0.315780371427536,NYU_2,2000,0025031_session_1,rest_1_rest,0.015,0.338,1.0,0.005,-0.002,0.398,0.8540000000000001,0.0681,0.113,0.0277,0.3449,0.087,0.1232,-0.000998,0.002902,-0.00046,0.003482,-0.000697,-0.002379,0.1869,0.2639,0.0895,0.4693,0.1256,0.3019,0.056583,0.076264,0.023373,0.049451,0.027938,0.067468,0.0619,2.0,0.2488,0.109,1.105,1.9523,1.4347,NYU_2
0025031_session_1_scan_rest_2_rest,0.6052935146726668,0.6371510680764914,0.6690086214803159,2.81184,0.6052464219604566,0.08218268305063248,0.11394983902573586,0.1525375783443451,10.0045,0.09313639253377914,0.2793837487697601,0.4602360427379608,0.6490380764007568,6.94154,0.2957824766635895,NYU_2,2000,0025031_session_1,rest_2_rest,0.016,0.306,1.0,0.004,-0.002,0.407,0.649,0.0831,0.0892,0.0411,0.312,0.0658,0.1621,0.000519,0.001909,0.000235,0.0014789999999999998,0.000432,-0.001254,0.11900000000000001,0.2024,0.0569,0.3451,0.1119,0.2267,0.024321,0.044354000000000005,0.022177,0.032223,0.046329,0.019339,0.0581,1.0,0.2411,0.1017,0.5525,1.9227,1.328,NYU_2
0025032_session_1_scan_rest_1_rest,0.6043874965980649,0.6377790709957479,0.6711706453934312,2.97269,0.605354351005101,0.08182819932699202,0.11713246256113052,0.15721954703330993,10.3908,0.09325066208839417,0.2597530633211136,0.4516707360744476,0.6252466142177582,6.48605,0.2836658656597137,NYU_2,2000,0025032_session_1,rest_1_rest,0.026,0.189,1.0,0.006999999999999999,-0.0,0.119,0.421,0.0596,0.1043,0.0498,0.1903,0.0753,0.0455,-0.001181,-0.000404,0.000593,0.000483,-0.000225,-0.000179,0.163,0.0943,0.0976,0.2094,0.0671,0.0665,0.066216,0.018558,0.040644,0.055489,0.016516,0.023877,0.0899,4.0,0.2999,0.1442,2.2099,2.1507,2.1447,NYU_2
