Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026032_session_1,rest_1_rest,0.089,1.319,36.000,0.021,-0.001,2.807,2.963,0.180900,0.947000,0.099300,1.301700,0.159900,0.233200,-0.000214,-0.000802,0.000149,0.002199,-0.000082,-0.000250,0.178200,0.948900,0.131900,1.388900,0.160000,0.212000,0.025620,0.107117,0.021681,0.163836,0.030748,0.035850,0.2051,41.0000,0.4529,0.5474,17.0124,28.4885,5.7009,
0026032_session_2,rest_1_rest,0.026,0.434,3.000,0.008,-0.000,1.019,1.322,0.046100,0.408500,0.039100,0.411700,0.070800,0.138800,-0.000835,0.000370,-0.000269,-0.000074,-0.001170,0.000210,0.173900,0.476300,0.052900,0.529000,0.235600,0.189700,0.044430,0.042494,0.020617,0.060173,0.078675,0.028600,0.1128,21.0000,0.3359,0.2145,8.7137,27.4258,3.1049,
0026033_session_1,rest_1_rest,0.066,0.303,48.000,0.023,0.005,1.001,3.707,0.072800,0.579000,0.093200,0.270200,0.059200,0.246800,0.001146,-0.007909,-0.000393,0.006325,0.000291,0.002452,0.178300,1.615600,0.217300,1.071000,0.093300,0.569900,0.093190,0.635274,0.065419,0.524504,0.034081,0.162207,0.2382,122.0000,0.4881,0.4393,50.6224,28.7375,6.3078,
0026033_session_2,rest_1_rest,0.041,0.129,6.000,0.006,-0.003,0.193,1.084,0.045200,0.107700,0.055300,0.120000,0.068200,0.191400,0.000790,0.000605,0.001077,-0.001887,0.000680,-0.000844,0.144800,0.326800,0.257600,0.510700,0.143100,0.157700,0.047691,0.130141,0.062764,0.209601,0.045606,0.065495,0.1211,11.0000,0.3481,0.1710,4.5643,26.3527,3.8747,
0026034_session_1,rest_1_rest,0.022,0.174,3.000,0.009,-0.006,0.349,2.375,0.047700,0.147700,0.057500,0.184100,0.031900,0.091100,-0.000521,-0.006643,0.000327,0.002340,-0.000279,0.000324,0.118600,1.099800,0.090200,0.592900,0.045700,0.089100,0.016888,0.374230,0.037137,0.067049,0.010597,0.032380,0.0788,8.0000,0.2807,0.1486,3.3195,25.7798,1.7665,
0026034_session_2,rest_1_rest,0.030,0.345,13.000,0.008,0.005,0.742,1.694,0.118300,0.379400,0.144400,0.394600,0.176500,0.194600,-0.000052,0.001963,-0.000185,-0.003358,0.000709,-0.000895,0.228300,0.529100,0.170500,0.816200,0.219400,0.284700,0.060355,0.183986,0.073853,0.160724,0.065506,0.061094,0.1096,24.0000,0.3310,0.2376,9.9585,26.4096,2.4911,
0026035_session_1,rest_1_rest,0.011,0.043,0.000,0.007,0.000,0.106,0.163,0.040000,0.105700,0.065200,0.059400,0.030200,0.066400,-0.000116,0.000210,0.000107,0.000155,0.000060,-0.000187,0.052400,0.079700,0.043800,0.051700,0.027600,0.041500,0.015663,0.024685,0.013643,0.018250,0.005545,0.012163,0.0679,3.0000,0.2605,0.1119,1.2448,12.7934,1.1731,
0026035_session_2,rest_1_rest,0.032,0.139,3.000,0.004,-0.000,0.245,0.334,0.039000,0.136800,0.030900,0.127400,0.040500,0.101600,-0.000205,0.000952,-0.000205,-0.000829,-0.000297,-0.000652,0.045800,0.136600,0.047300,0.200200,0.079100,0.100100,0.015896,0.042725,0.017399,0.061541,0.026602,0.026040,0.0791,2.0000,0.2813,0.1310,0.8299,26.4190,2.3635,
0026036_session_1,rest_1_rest,0.031,0.394,12.000,0.007,0.006,0.702,1.590,0.160800,0.259200,0.229200,0.439600,0.088400,0.095500,0.001933,0.000040,-0.000446,0.004169,0.001492,0.000605,0.406400,0.174500,0.216600,1.023000,0.307500,0.190800,0.062576,0.040691,0.032628,0.075248,0.050914,0.028993,0.1076,21.0000,0.3280,0.2114,8.7137,32.8624,3.0380,
0026036_session_2,rest_1_rest,0.055,0.796,33.000,0.014,0.001,1.850,3.445,0.714400,0.139200,0.223300,0.422500,0.897000,0.133900,0.004685,-0.000344,0.004915,0.002738,0.003728,-0.000521,1.251800,0.278500,0.633400,0.385400,1.322800,0.160400,0.458092,0.108618,0.411380,0.182842,0.375478,0.060713,0.2195,102.0000,0.4685,0.4363,42.3237,30.7257,6.2082,
