subject,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean
0025118_session_1_scan_rest_1_rest,0.6012336909770966,0.6184407472610474,0.6370981335639954,7.32837,0.588309109210968,0.07895766198635101,0.10296124406158924,0.13068323135375978,11.951,0.0859927237033844,0.2479068711400032,0.42434483021497726,0.602103579044342,6.18893,0.2711363136768341
0025119_session_1_scan_rest_2_rest,0.589492678642273,0.6076755821704865,0.6273846745491027,7.03948,0.5764105319976807,0.09217332303524017,0.12449945881962776,0.1618930548429489,12.3129,0.10210882872343063,0.30360373854637146,0.4842647314071655,0.6415226459503174,6.49688,0.310759037733078
0025119_session_1_scan_rest_1_rest,0.604453444480896,0.6266874074935913,0.6481231451034546,7.01037,0.5926406979560852,0.10178423672914505,0.1387028694152832,0.1739529639482498,12.4532,0.11042952537536621,0.3481508493423462,0.5406206846237183,0.699467658996582,6.58712,0.347804456949234
0025120_session_1_scan_rest_1_rest,0.603012204170227,0.623971700668335,0.6525287985801697,7.70335,0.5955452919006348,0.07805878669023514,0.09852037578821182,0.1233774855732918,11.9789,0.08405633270740509,0.2384946495294571,0.41178420186042786,0.5938011407852173,6.14504,0.2646973729133606
0025120_session_1_scan_rest_2_rest,0.5984270870685577,0.6158006489276886,0.6343550980091095,7.37258,0.5861232876777649,0.0870848186314106,0.11199854500591755,0.13956829756498337,12.3194,0.0927361473441124,0.29372674226760864,0.47363170981407166,0.6407216191291809,6.2048,0.30580979585647583
0025121_session_1_scan_rest_1_rest,0.5912992358207703,0.6098519116640091,0.6297716498374939,7.20968,0.5788713097572327,0.08554507046937943,0.11542744189500809,0.14708767384290697,12.9102,0.09398339688777924,0.2974192202091217,0.4929209351539612,0.6622062325477601,6.41068,0.3109716773033142
0025121_session_1_scan_rest_2_rest,0.6017195582389832,0.62733194231987,0.6585336804389954,7.43293,0.5948439836502075,0.09018911421298981,0.11939168721437454,0.1487728297710419,12.1398,0.09668654948472977,0.328873410820961,0.5220262557268143,0.688785195350647,6.32184,0.3336328864097595
0025122_session_1_scan_rest_1_rest,0.5934520363807678,0.6112643480300903,0.6305018842220307,7.12549,0.5815932750701904,0.09566019475460052,0.12542759627103806,0.15984309017658238,12.6602,0.10364598780870438,0.2847457528114319,0.46753712743520737,0.6444908976554871,6.55262,0.29929935932159424
0025122_session_1_scan_rest_2_rest,0.5997745394706726,0.6188799738883972,0.6388340592384338,7.08745,0.5883049368858337,0.1066541075706482,0.13747527450323105,0.16801108717918395,12.2032,0.11195337772369385,0.34097015857696533,0.5260881185531616,0.685639476776123,6.44706,0.3408816456794739
0025123_session_1_scan_rest_2_rest,0.5979416966438293,0.614984929561615,0.631588613986969,6.95468,0.583782434463501,0.09190164506435394,0.12446330487728119,0.15605776309967043,12.3627,0.10035621374845505,0.3200230598449707,0.5098201185464859,0.6875758588314058,6.5505,0.33143970370292664
0025123_session_1_scan_rest_1_rest,0.5986737608909607,0.6151651740074158,0.6322200655937195,7.01264,0.5845514535903931,0.09417088329792023,0.12373524904251099,0.15737895369529722,12.783,0.10115226358175278,0.33153244853019714,0.5129541158676147,0.6757200360298157,6.71585,0.33406153321266174
0025124_session_1_scan_rest_1_rest,0.6016473770141602,0.618061751127243,0.6354686617851257,7.23799,0.5865082740783691,0.0683761015534401,0.08759692311286926,0.10951573699712754,11.7875,0.07472243160009384,0.20830923318862915,0.3787696659564972,0.5666855216026307,6.464,0.24076880514621735
0025124_session_1_scan_rest_2_rest,0.5982125401496887,0.6133203506469727,0.6299427092075348,7.22671,0.5827900767326355,0.06362484768033028,0.08086991682648659,0.10410640090703965,11.954,0.07015209645032883,0.19146765768527985,0.36069952696561813,0.5471876263618469,6.47578,0.2279110997915268
0025125_session_1_scan_rest_2_rest,0.5903998613357544,0.6037645488977432,0.6157831251621246,7.15534,0.5731167793273926,0.06954975053668022,0.08959810063242912,0.11431123688817024,12.3456,0.07668857276439667,0.19366507232189178,0.3567825108766556,0.5304331183433533,6.35806,0.2241707742214203
0025125_session_1_scan_rest_1_rest,0.6040681600570679,0.6269832253456116,0.6528608202934265,7.25937,0.5929036140441895,0.09767598658800125,0.1379254385828972,0.17957051396369933,13.3848,0.11071688681840897,0.34118062257766724,0.5573009252548218,0.7349096655845642,6.8058,0.3503463864326477
0025126_session_1_scan_rest_2_rest,0.6038240790367126,0.6227622032165527,0.6434944987297059,7.17348,0.5914609432220459,0.11597425490617752,0.15218833833932877,0.19451797604560853,12.7807,0.12466096132993698,0.42327138781547546,0.6110309958457947,0.7617896676063539,6.55923,0.4033568203449249
0025126_session_1_scan_rest_1_rest,0.5950997173786163,0.6132262796163559,0.633312052488327,7.13066,0.58236163854599,0.09621095657348633,0.13103390485048294,0.16842427849769592,12.7165,0.10580351203680038,0.3142416477203369,0.5107208490371704,0.6858978271484375,6.54815,0.3250020742416382
0025127_session_1_scan_rest_2_rest,0.5939304530620575,0.6103264093399048,0.6271217107772827,7.31962,0.5772837400436401,0.08754832297563553,0.11480189673602581,0.14849554747343063,12.0386,0.09591107815504074,0.31827300786972046,0.5086381435394287,0.6805630922317505,6.76071,0.3295047879219055
0025127_session_1_scan_rest_1_rest,0.5958784520626068,0.6098810732364655,0.6237504124641418,7.25437,0.5784135460853577,0.08242402598261833,0.10597012750804424,0.1340610891580582,12.8904,0.09000667184591293,0.2637675255537033,0.44393205642700195,0.6446937322616577,7.1317,0.2894822657108307
0025128_session_1_scan_rest_1_rest,0.5996978282928467,0.6191466450691223,0.6426320314407349,7.2762,0.5894467234611511,0.08455037325620651,0.10863538831472397,0.1364115208387375,12.3103,0.09118456393480301,0.26353296637535095,0.4537869393825531,0.6464969515800476,6.44021,0.2862812280654907
0025128_session_1_scan_rest_2_rest,0.5971657037734985,0.6143572330474854,0.6325472116470336,7.25767,0.5846432447433472,0.0854957103729248,0.10957487300038338,0.1395191639661789,13.0991,0.0924571231007576,0.2546704113483429,0.44446156919002533,0.6269107878208162,6.60972,0.27862563729286194
