subject,falff_50,falff_75,falff_90,falff_fwhm,falff_mean,reho_50,reho_75,reho_90,reho_fwhm,reho_mean,vmhc_50,vmhc_75,vmhc_90,vmhc_fwhm,vmhc_mean
0026017_session_10_scan_rest_4_rest,0.39696011785417795,0.4425129182636738,0.4945732615888119,3.58173,0.40394063476776004,0.08943713083863258,0.14048394933342934,0.20735439658164978,10.5549,0.11016204953193665,0.33190029859542847,0.5651679039001465,0.745316207408905,5.88577,0.3324560225009918
0026017_session_10_scan_rest_9_rest,0.38278664578683674,0.42565875011496246,0.47159314760938287,3.39561,0.38749864355589264,0.08067936450242996,0.12220127508044243,0.17739917784929277,9.93074,0.09739504009485245,0.22617290169000626,0.44251081347465515,0.6386585533618927,5.71601,0.2481202632188797
0026017_session_10_scan_rest_2_rest,0.3838975289836526,0.42593010514974594,0.4707648530602455,3.24097,0.38788753401268594,0.08272995799779892,0.12731779366731644,0.18473269343376167,10.2811,0.10087443888187408,0.2451818287372589,0.4663010239601135,0.654956316947937,5.76772,0.2641194462776184
0026017_session_1_scan_rest_1_rest,0.39117462025023997,0.4323508960660547,0.4764683344401419,3.27115,0.39518774220007186,0.08894068747758865,0.13701169192790985,0.1962009221315384,10.3628,0.10776152461767197,0.29948121309280396,0.5149351954460144,0.6902188062667847,5.76093,0.30605074763298035
0026017_session_1_scan_rest_8_rest,0.3917925066780299,0.43366346159018576,0.47852519899606705,3.32237,0.39710898459417837,0.08723814785480499,0.1339879035949707,0.19277283847332,9.85348,0.10576128959655762,0.2796330749988556,0.5112057328224182,0.6936710476875305,5.83464,0.2881484627723694
0026017_session_1_scan_rest_3_rest,0.39594959933310747,0.44772762386128306,0.5055971806868911,3.66116,0.40626083344983754,0.11068321391940117,0.17475931346416473,0.24508651942014703,10.7113,0.13190381228923798,0.3735148757696152,0.6031330823898315,0.7713987290859222,6.15889,0.3580513298511505
0026017_session_1_scan_rest_6_rest,0.398568196920678,0.44717407459393144,0.4990203441120684,3.50774,0.4072452998519549,0.10025683790445328,0.15402083098888397,0.21979172527790064,10.2644,0.1198369562625885,0.36264342069625854,0.5860380828380585,0.7476784586906433,5.8511,0.35187944769859314
0026017_session_1_scan_rest_10_rest,0.38335477095097303,0.42698864731937647,0.47373922914266586,3.3623,0.389739171136889,0.08900534361600876,0.13680031895637512,0.19280430674552923,10.0073,0.10648491978645325,0.3092297166585922,0.5406351089477539,0.7120080590248108,5.80645,0.31275880336761475
0026017_session_1_scan_rest_7_rest,0.39526600018143654,0.4388615149073303,0.482457029633224,3.26224,0.40069108855508395,0.08354969322681427,0.12653179466724396,0.1825545132160186,10.2188,0.10102788358926773,0.26032567024230957,0.4777296334505081,0.6626036763191223,5.74221,0.2742769420146942
0026017_session_1_scan_rest_9_rest,0.38157000625506043,0.42526122834533453,0.466039702296257,3.16131,0.3866999432649663,0.08265527710318565,0.12557294964790344,0.1812314897775651,10.0705,0.09965900331735611,0.23883429169654846,0.45131057500839233,0.6326872110366821,5.68053,0.2543485164642334
0026017_session_1_scan_rest_2_rest,0.3837954900227487,0.4294854293111712,0.47212937264703214,3.31346,0.390413139292329,0.08592098951339722,0.13013621419668198,0.19234293997287752,10.2122,0.10430989414453506,0.286919504404068,0.5172143876552582,0.6984248161315918,5.80813,0.2953687608242035
0026017_session_1_scan_rest_4_rest,0.3851735992357135,0.4240146344527602,0.46609242260456085,3.14346,0.3891371661032979,0.07602253556251526,0.11254827678203583,0.16283350884914405,9.91413,0.09211506694555283,0.21762332320213318,0.4425126314163208,0.6699759364128113,5.84086,0.25066715478897095
0026017_session_1_scan_rest_5_rest,0.389609697740525,0.4285706675145775,0.46753163728863,2.87509,0.39269814028405536,0.07477503269910812,0.11028397083282471,0.16309899389743804,9.98455,0.09107448905706406,0.22112727165222168,0.43722204118967056,0.6279233515262603,5.73164,0.24248148500919342
